피처 세트,모델,그룹,n,위험군,기준선,PR-AUC,PR-AUC 배수,ROC-AUC,Recall@5%,Lift@5%,Recall@10%,Lift@10%,Recall@20%,Lift@20%,PR-AUC 반복 표준편차,PR-AUC CI하한,PR-AUC CI상한
A 지역 포함(시도+시군구),HGB(중첩 튜닝),전체,55069,2175,0.03949590513719153,0.36415844502036937,9.220156969575504,0.8690589057823592,0.45762452107279694,9.153986469654141,0.6090421455938697,6.090310861759363,0.7517241379310345,3.7585524379629685,0.003596685914310196,0.34265353548316985,0.38046020937703856
A 지역 포함(시도+시군구),HGB(중첩 튜닝),공식점검,12064,1356,0.11240053050397876,0.48774977939731534,4.339390367735407,0.844733398952951,0.27630285152409045,5.527889885218287,0.46705998033431656,4.6721489243393,0.6642084562438545,3.320767018701144,0.0025802288290052455,0.4640747264439114,0.5164062642824542
A 지역 포함(시도+시군구),HGB(중첩 튜닝),자율점검,43005,819,0.01904429717474712,0.1185889174001455,6.22700414260471,0.8130432641644892,0.3447293447293447,6.895388590737428,0.4912494912494913,4.913066132833575,0.652014652014652,3.2600732600732605,0.006813105568764576,0.09406963026503298,0.12712116931165485
A 지역 포함(시도+시군구),로지스틱,전체,55069,2175,0.03949590513719153,0.25285949121719864,6.402169803144787,0.8536786925980927,0.3681226053639846,7.363655559313211,0.54544061302682,5.454307085304873,0.7354789272030651,3.6773278592832384,0.001695098620892225,0.23275794558240948,0.2703703246514599
A 지역 포함(시도+시군구),로지스틱,공식점검,12064,1356,0.11240053050397876,0.32017700667906096,2.8485364370030912,0.7802465942261348,0.18780727630285154,3.757391345468658,0.34341199606686335,3.4352589722642115,0.5285152409046213,2.6423571762425833,0.0020147576430933167,0.305767521759766,0.34343255307367954
A 지역 포함(시도+시군구),로지스틱,자율점검,43005,819,0.01904429717474712,0.11861305865992679,6.228271779817036,0.8008638546494707,0.3483923483923484,6.968657182610671,0.4920634920634921,4.921207087486157,0.6284086284086284,3.1420431420431423,0.001452076380876493,0.10176619131631072,0.138486838957285
중간: 시도까지만,HGB(중첩 튜닝),전체,55069,2175,0.03949590513719153,0.2566846451016096,6.499019182115191,0.8060398538709749,0.36030651340996167,7.207308168170424,0.495632183908046,4.95623183868389,0.6495019157088123,3.2474506079688203,0.002982342533851791,0.23536622561984494,0.2689020773981586
중간: 시도까지만,HGB(중첩 튜닝),공식점검,12064,1356,0.11240053050397876,0.3607489322889765,3.2094949256152003,0.7739327147311542,0.22984267453294002,4.598378151849732,0.36774827925270404,3.6787025214797864,0.5385939036381514,2.692746313091861,0.003894910049830258,0.3341145116370505,0.3811710537702927
중간: 시도까지만,HGB(중첩 튜닝),자율점검,43005,819,0.01904429717474712,0.04467361314153708,2.345773788952139,0.687359795132516,0.1733821733821734,3.4680466820001707,0.2922262922262922,2.922602720277139,0.44770044770044765,2.238502238502239,0.0019531377162078814,0.038033207333341916,0.04782380460455394
중간: 시도까지만,로지스틱,전체,55069,2175,0.03949590513719153,0.18834426662433368,4.768703640797899,0.79465270307839,0.30114942528735633,6.02397301167796,0.4554789272030651,4.5547065629463575,0.634022988505747,3.17005737734002,0.0010894025073970783,0.17635132298112957,0.20271249076495923
중간: 시도까지만,로지스틱,공식점검,12064,1356,0.11240053050397876,0.252346580217461,2.2450657402237835,0.7103385379074963,0.14626352015732547,2.9262406420861935,0.23377581120943955,2.3385334879193023,0.4358407079646018,2.179022917896791,0.0014119386581359031,0.23353107216664168,0.27502150268113945
중간: 시도까지만,로지스틱,자율점검,43005,819,0.01904429717474712,0.046686336509499944,2.4514601973028634,0.6859070161232016,0.17908017908017912,3.582020047136327,0.2796092796092796,2.79641792316211,0.4497354497354497,2.248677248677249,0.0009820665686260215,0.04065167183530176,0.052502421752630514
B 지역 제외,HGB(중첩 튜닝),전체,55069,2175,0.03949590513719153,0.20288156646121522,5.136774705035706,0.7676426097333104,0.31340996168582375,6.269223821313704,0.45394636015325673,4.539381170742635,0.6122605363984674,3.06124709269359,0.0012263434633301422,0.18633355447799535,0.21642260678511474
B 지역 제외,HGB(중첩 튜닝),공식점검,12064,1356,0.11240053050397876,0.28448845571839526,2.5310241370108555,0.7260580566492157,0.18706981317600788,3.7426371909707448,0.3050639134709931,3.051650955318458,0.46214355948869223,2.310526275040026,0.0011550533726964165,0.2619915725222202,0.3036127402635615
B 지역 제외,HGB(중첩 튜닝),자율점검,43005,819,0.01904429717474712,0.0289948135784077,1.5224932331372687,0.5983946397353689,0.10337810337810338,2.06780248175597,0.17745217745217745,1.774728114262998,0.3223443223443223,1.611721611721612,0.0016559979641175288,0.023705938424661507,0.031060931941553745
B 지역 제외,로지스틱,전체,55069,2175,0.03949590513719153,0.17898268512674856,4.531677005629846,0.7633574950088132,0.2950191570881226,5.901347606860088,0.43095785440613027,4.309500287686796,0.6073563218390805,3.036726465167634,0.001064703735211418,0.1636198268864842,0.19425846286487097
B 지역 제외,로지스틱,공식점검,12064,1356,0.11240053050397876,0.24591791082046086,2.1878714425796755,0.695501144348834,0.14773844641101277,2.95574895108202,0.26057030481809246,2.606567294631399,0.43780727630285154,2.188854944599089,0.0015944417055496342,0.22730798956602682,0.26719041347053846
B 지역 제외,로지스틱,자율점검,43005,819,0.01904429717474712,0.029218718352693285,1.534250284197283,0.5961841883593176,0.11233211233211232,2.246903484112787,0.1872201872201872,1.8724195700939887,0.31664631664631665,1.5832315832315835,0.00012153405991759545,0.02597631808966954,0.03395215512700306
