모델,그룹,n,위험군,기준선,PR-AUC,PR-AUC 배수,ROC-AUC,Recall@5%,Lift@5%,Recall@10%,Lift@10%,Recall@20%,Lift@20%,PR-AUC 반복 표준편차,PR-AUC CI하한,PR-AUC CI상한
"HGB(튜닝, 중첩검증)",전체,55069,2175,0.0394959051371915,0.3641584450203693,9.220156969575504,0.8690589057823592,0.4576245210727969,9.15398646965414,0.6090421455938697,6.090310861759363,0.7517241379310345,3.758552437962969,0.0035966859143101,0.3426535354831698,0.3804602093770385
"HGB(튜닝, 중첩검증)",공식점검,12064,1356,0.1124005305039787,0.4877497793973153,4.339390367735407,0.844733398952951,0.2763028515240904,5.527889885218287,0.4670599803343165,4.6721489243393,0.6642084562438545,3.320767018701144,0.0025802288290052,0.4640747264439114,0.5164062642824542
"HGB(튜닝, 중첩검증)",자율점검,43005,819,0.0190442971747471,0.1185889174001455,6.22700414260471,0.8130432641644892,0.3447293447293447,6.895388590737428,0.4912494912494913,4.913066132833575,0.652014652014652,3.2600732600732605,0.0068131055687645,0.0940696302650329,0.1271211693116548
로지스틱(balanced),전체,55069,2175,0.0394959051371915,0.2528831067767225,6.402767727396473,0.8536649674683714,0.3684291187739463,7.369786829554104,0.5449808429118774,5.449709467643757,0.735632183908046,3.678094128893425,0.0017764865934284,0.2327295142158874,0.270319514481153
로지스틱(balanced),공식점검,12064,1356,0.1124005305039787,0.3202419427287488,2.849114157138367,0.7802453545608113,0.1880530973451327,3.762309396967962,0.3431661750245821,3.43279994651456,0.5290068829891839,2.644815182918158,0.0021476901686813,0.3056854788539407,0.34331309609956
로지스틱(balanced),자율점검,43005,819,0.0190442971747471,0.1185458678951204,6.224743649364659,0.8008270580925015,0.3483923483923484,6.968657182610671,0.4924704924704925,4.925277564812449,0.6284086284086284,3.1420431420431423,0.0014722915085835,0.1016669501610019,0.1381643699535627
LightGBM(중첩 튜닝),전체,55069,2175,0.03949590513719153,0.3687930642377663,9.337501266441173,0.8721972970737252,0.45685823754789273,9.138658294051908,0.6170114942528735,6.17000290121872,0.7600000000000001,3.7999309969130195,0.007266311415423433,0.34739830728523513,0.3923369702171445
LightGBM(중첩 튜닝),공식점검,12064,1356,0.11240053050397876,0.49541106352517944,4.407550936849384,0.8535403831539217,0.28294001966568344,5.66067727569951,0.46730580137659783,4.674607950088952,0.670599803343166,3.3527211054836124,0.012456410863014859,0.47165774441022607,0.5230165894693629
LightGBM(중첩 튜닝),자율점검,43005,819,0.01904429717474712,0.11679667744512867,6.132895132512527,0.8102908546894704,0.35205535205535204,7.041925774483914,0.4810744810744811,4.811304199676293,0.6483516483516484,3.2417582417582422,0.001788944943335657,0.09796963024993945,0.138574425392249
CatBoost(중첩 튜닝),전체,55069,2175,0.03949590513719153,0.3869564682201025,9.797381953293252,0.8711873816308972,0.47540229885057467,9.509600143625969,0.6295785440613026,6.2956711172892454,0.7656704980842912,3.8282829724899066,0.0014503668615446395,0.3649483240715922,0.40627268646771053
CatBoost(중첩 튜닝),공식점검,12064,1356,0.11240053050397876,0.5202690432846991,4.628706296597795,0.8628948173357737,0.29351032448377584,5.872153490169604,0.47025565388397245,4.704116259084779,0.6912487708947886,3.4559573858577415,0.002853282817842035,0.4965809745812584,0.547370451075707
CatBoost(중첩 튜닝),자율점검,43005,819,0.01904429717474712,0.12369090017572289,6.4949049597765125,0.7999184802863749,0.3471713471713471,6.944234318652923,0.5026455026455027,5.027039497969731,0.6361416361416361,3.1807081807081814,0.0014892874802880998,0.10851478027651952,0.15083262959913069
