모델,그룹,n,위험군,기준선,PR-AUC,PR-AUC 배수,ROC-AUC,Recall@5%,Lift@5%,Recall@10%,Lift@10%,Recall@20%,Lift@20%,PR-AUC 반복 표준편차,PR-AUC CI하한,PR-AUC CI상한
업종(ftype) 위험률 기준선,전체,55069,2175,0.03949590513719153,0.15089798371169214,3.820598190813412,0.7520872656902035,0.2789272030651341,5.579455919213174,0.42727969348659006,4.272719346397862,0.5737931034482758,2.8689134205368716,0.00036016006706968704,0.13972563557714304,0.16124719578419874
업종(ftype) 위험률 기준선,공식점검,12064,1356,0.11240053050397876,0.20573517881680461,1.8303755141931646,0.6765555228651218,0.11627335299901671,2.326238359171041,0.22025565388397247,2.2032870716884276,0.3974926253687316,1.98729839720198,0.0005799006257206348,0.19226403503283063,0.22432159505607538
업종(ftype) 위험률 기준선,자율점검,43005,819,0.01904429717474712,0.024530518390313647,1.2880768539382643,0.5735727282211899,0.06308506308506308,1.2618479711502968,0.15221815221815224,1.5223585200329388,0.29385429385429385,1.4692714692714695,0.0003718556897522852,0.021438870184890758,0.02657538005051766
로지스틱(balanced),전체,55069,2175,0.03949590513719153,0.2528831067767225,6.402767727396473,0.8536649674683714,0.36842911877394635,7.369786829554104,0.5449808429118774,5.449709467643757,0.735632183908046,3.678094128893425,0.0017764865934284742,0.23273349032135476,0.2691341430927808
로지스틱(balanced),공식점검,12064,1356,0.11240053050397876,0.32024194272874884,2.849114157138367,0.7802453545608113,0.18805309734513273,3.7623093969679626,0.3431661750245821,3.4327999465145598,0.5290068829891839,2.644815182918158,0.002147690168681332,0.30289990085000973,0.34538921954807494
로지스틱(balanced),자율점검,43005,819,0.01904429717474712,0.11854586789512046,6.224743649364659,0.8008270580925015,0.3483923483923484,6.968657182610671,0.4924704924704925,4.925277564812449,0.6284086284086284,3.1420431420431423,0.0014722915085835719,0.10187279670540993,0.14007752407545596
로지스틱 + 결측 플래그,전체,55069,2175,0.03949590513719153,0.2524371639108843,6.391476864095856,0.8543073974161001,0.3670498084291188,7.3421961134700835,0.5469731800766283,5.469632477508597,0.7376245210727969,3.688055633825845,0.0016642686502743162,0.2325009806907301,0.26858930891964733
로지스틱 + 결측 플래그,공식점검,12064,1356,0.11240053050397876,0.3194196744762328,2.841798637818048,0.7815594227604024,0.18928220255653883,3.786899654464485,0.3443952802359882,3.4450950752628207,0.5287610619469026,2.6435861795803706,0.0019846320658234756,0.30317708921510017,0.34565896153178144
로지스틱 + 결측 플래그,자율점검,43005,819,0.01904429717474712,0.11839271657790669,6.216701802726345,0.8013163153019978,0.3549043549043549,7.098912457051992,0.4940984940984941,4.941559474117614,0.6308506308506309,3.154253154253155,0.0009812857431309742,0.10224262481290168,0.13986228051556424
