region,예측대상수,평균점수_A,평균점수_B,A상위10퍼센트비율,위험판정0건지역
서울특별시 강남구,749,0.029735189798176822,0.020070113545432963,0.025367156208277702,False
서울특별시 송파구,525,0.017095616671139582,0.01829622007130949,0.03619047619047619,False
충청남도 천안시,476,0.018128867461565397,0.025028286702519484,0.058823529411764705,False
서울특별시 서초구,454,0.014206047675176291,0.018484662323327752,0.00881057268722467,False
전북특별자치도 전주시,425,0.025029895735687282,0.02180048126296884,0.03294117647058824,False
경상남도 창원시,392,0.0035971802877894045,0.02302087684767062,0.04591836734693878,False
인천광역시 남동구,343,0.020556068287002335,0.0193485240026174,0.029154518950437316,False
경상남도 김해시,338,0.017575339177098328,0.028660943065362775,0.08875739644970414,False
서울특별시 양천구,329,0.0324166691492013,0.019528854609165022,0.13069908814589665,False
전북특별자치도 익산시,323,0.05310154435871557,0.024763603552277854,0.32507739938080493,False
경상북도 포항시,317,0.05540908527135365,0.022429126149537272,0.25236593059936907,False
인천광역시 연수구,273,0.026157715909877734,0.015136839007432996,0.047619047619047616,False
서울특별시 마포구,269,0.01285339556003761,0.022685259932419155,0.022304832713754646,False
전남광주통합특별시 순천시,257,0.026038306121701632,0.025309406575433242,0.12840466926070038,False
경상남도 진주시,251,0.12805548661214933,0.0344298428280665,0.6892430278884463,False
대전광역시 서구,240,0.018187884110137473,0.0166176925087058,0.058333333333333334,False
서울특별시 영등포구,229,0.01736601448406149,0.01828812347554424,0.039301310043668124,False
경상북도 구미시,223,0.03985247293315625,0.027625468411583493,0.20179372197309417,False
서울특별시 강서구,220,0.12264114736481459,0.020140900203261234,0.6090909090909091,False
충청북도 청주시,216,0.011161727220678338,0.01510073679772483,0.009259259259259259,False
경상남도 거제시,210,0.05365585146551832,0.022727768606046996,0.32857142857142857,False
서울특별시 관악구,206,0.003368599411122158,0.01953096042142078,0.0,True
전남광주통합특별시 광산구,195,0.008095221628854054,0.016793132689822583,0.0,False
서울특별시 은평구,191,0.016411009729324952,0.021451008276040934,0.06806282722513089,False
서울특별시 중구,189,0.02015007132679241,0.02582328009107608,0.031746031746031744,False
충청남도 아산시,179,0.0082562817696409,0.016914236317719957,0.00558659217877095,False
서울특별시 금천구,172,0.055836114319694985,0.019467469596691822,0.4127906976744186,False
대구광역시 달서구,171,0.011298707839842414,0.022156547313169662,0.05263157894736842,False
서울특별시 성동구,170,0.012872320070252918,0.022231677856098555,0.029411764705882353,False
경기도 용인시,166,0.043754276029735285,0.022355771277443415,0.15060240963855423,False
서울특별시 강동구,165,0.13381106963414244,0.02014594372228866,0.9393939393939394,False
서울특별시 광진구,163,0.0401128416072271,0.020801324607209577,0.07975460122699386,False
대구광역시 수성구,160,0.0035920078060751614,0.014401308194514888,0.0,False
서울특별시 구로구,160,0.14534234500291837,0.02670176151258582,0.5,False
서울특별시 성북구,160,0.010753415222831329,0.021759045330632165,0.0125,False
부산광역시 부산진구,155,0.009662007696294174,0.019458813678851033,0.03870967741935484,False
서울특별시 서대문구,153,0.011920336222505873,0.0195634961181652,0.026143790849673203,False
서울특별시 노원구,153,0.02061534939186232,0.020495699168238075,0.058823529411764705,False
제주특별자치도 제주시,149,0.00774336243612171,0.020051524532076388,0.03355704697986577,False
인천광역시 미추홀구,145,0.011751819708689427,0.019160923322650125,0.006896551724137931,True
대전광역시 대덕구,138,0.2287848946030111,0.027936051361912132,1.0,False
대전광역시 유성구,137,0.0054108156674866825,0.01687864027152639,0.0,True
서울특별시 동작구,136,0.06691279943895787,0.0222237741819742,0.4264705882352941,False
전남광주통합특별시 북구,128,0.10341920528836475,0.026282292686096654,0.515625,False
전남광주통합특별시 남구,126,0.044419680281009365,0.018464523946913117,0.20634920634920634,False
부산광역시 남구,123,0.008671234079403782,0.018704917344502057,0.0,True
서울특별시 도봉구,119,0.011849134963096105,0.021526757214473696,0.01680672268907563,False
서울특별시 동대문구,117,0.015871839316133625,0.01810269308515559,0.008547008547008548,False
강원특별자치도 원주시,116,0.0036222256681500207,0.020401383166635246,0.008620689655172414,False
부산광역시 사하구,112,0.032787135069327226,0.020493011581013833,0.15178571428571427,False
경기도 화성시,111,0.004091739902569175,0.01905909797333412,0.06306306306306306,False
서울특별시 강북구,111,0.02698698473934267,0.027075862010167796,0.10810810810810811,False
경기도 성남시,111,0.001884999114821225,0.012866953802891271,0.02702702702702703,True
충청남도 당진시,109,0.05684341271085276,0.030750354870545105,0.3853211009174312,False
경기도 고양시,103,0.013495560849130851,0.019109070017749957,0.02912621359223301,False
부산광역시 수영구,99,0.031742957561082925,0.0155174254412719,0.13131313131313133,False
인천광역시 서해구,98,0.011711057593977956,0.018862194918024076,0.01020408163265306,False
부산광역시 해운대구,95,0.008570549370487205,0.017520814866210228,0.08421052631578947,False
세종특별자치시 세종시,94,0.013855779056320681,0.01637700126229105,0.02127659574468085,False
울산광역시 남구,92,0.013123709181775092,0.018308651993907098,0.03260869565217391,False
경상남도 양산시,90,0.007857035168720381,0.022269823218100004,0.044444444444444446,False
경기도 수원시,88,0.004845060538838921,0.017825429703778713,0.045454545454545456,False
경상북도 경주시,86,0.020498154937732705,0.02054793604828341,0.03488372093023256,False
전남광주통합특별시 목포시,85,0.021769833647714634,0.03120675686672512,0.12941176470588237,False
인천광역시 검단구,85,0.0034788070721096026,0.012929136895843792,0.0,True
