검증,모델,그룹,n,위험군,기준선,PR-AUC,PR-AUC 배수,ROC-AUC,Recall@5%,Lift@5%,Recall@10%,Lift@10%,Recall@20%,Lift@20%,PR-AUC 반복 표준편차,PR-AUC CI하한,PR-AUC CI상한
R1 랜덤 5-fold (같은 지역),"HGB(튜닝, 중첩검증)",전체,55069,2175,0.03949590513719153,0.36415844502036937,9.220156969575504,0.8690589057823592,0.45762452107279694,9.153986469654141,0.6090421455938697,6.090310861759363,0.7517241379310345,3.7585524379629685,0.003596685914310196,0.34265353548316985,0.38046020937703856
R1 랜덤 5-fold (같은 지역),"HGB(튜닝, 중첩검증)",공식점검,12064,1356,0.11240053050397876,0.48774977939731534,4.339390367735407,0.844733398952951,0.27630285152409045,5.527889885218287,0.46705998033431656,4.6721489243393,0.6642084562438545,3.320767018701144,0.0025802288290052455,0.4640747264439114,0.5164062642824542
R1 랜덤 5-fold (같은 지역),"HGB(튜닝, 중첩검증)",자율점검,43005,819,0.01904429717474712,0.1185889174001455,6.22700414260471,0.8130432641644892,0.3447293447293447,6.895388590737428,0.4912494912494913,4.913066132833575,0.652014652014652,3.2600732600732605,0.006813105568764576,0.09406963026503298,0.12712116931165485
R1 랜덤 5-fold (같은 지역),업종(ftype) 위험률,전체,55069,2175,0.03949590513719153,0.15089798371169214,3.820598190813412,0.7520872656902035,0.2789272030651341,5.579455919213174,0.42727969348659006,4.272719346397862,0.5737931034482758,2.8689134205368716,0.00036016006706968704,0.13872588208215827,0.16092516357791903
R1 랜덤 5-fold (같은 지역),업종(ftype) 위험률,공식점검,12064,1356,0.11240053050397876,0.20573517881680461,1.8303755141931646,0.6765555228651218,0.11627335299901671,2.326238359171041,0.22025565388397247,2.2032870716884276,0.3974926253687316,1.98729839720198,0.0005799006257206348,0.19129461493803152,0.22116832415264132
R1 랜덤 5-fold (같은 지역),업종(ftype) 위험률,자율점검,43005,819,0.01904429717474712,0.024530518390313647,1.2880768539382643,0.5735727282211899,0.06308506308506308,1.2618479711502968,0.15221815221815224,1.5223585200329388,0.29385429385429385,1.4692714692714695,0.0003718556897522852,0.02154428545487516,0.02663531822861751
R1 랜덤 5-fold (같은 지역),로지스틱(balanced),전체,55069,2175,0.03949590513719153,0.2528831067767225,6.402767727396473,0.8536649674683714,0.36842911877394635,7.369786829554104,0.5449808429118774,5.449709467643757,0.735632183908046,3.678094128893425,0.0017764865934284742,0.23272951421588745,0.270319514481153
R1 랜덤 5-fold (같은 지역),로지스틱(balanced),공식점검,12064,1356,0.11240053050397876,0.32024194272874884,2.849114157138367,0.7802453545608113,0.18805309734513273,3.7623093969679626,0.3431661750245821,3.4327999465145598,0.5290068829891839,2.644815182918158,0.002147690168681332,0.3056854788539407,0.34331309609956
R1 랜덤 5-fold (같은 지역),로지스틱(balanced),자율점검,43005,819,0.01904429717474712,0.11854586789512046,6.224743649364659,0.8008270580925015,0.3483923483923484,6.968657182610671,0.4924704924704925,4.925277564812449,0.6284086284086284,3.1420431420431423,0.0014722915085835719,0.10166695016100191,0.1381643699535627
R1 랜덤 5-fold (같은 지역),랜덤포레스트,전체,55069,2175,0.03949590513719153,0.28035465657170855,7.098322107010307,0.8547310974149557,0.39448275862068966,7.89094480003006,0.5705747126436782,5.705643517445925,0.7259770114942529,3.629819143451699,0.0,0.2619272053283589,0.29774049208753267
